C,5,128,eighth
S,0,64,16th
B,4,64,16th
B,4,64,16th
S,0,128,eighth
D,6,64,16th
B,5,64,16th
C,6,64,16th
C,6,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,5,512,half
G,5,64,16th
G,5,64,16th
S,0,128,eighth
G,5,64,16th
S,0,128,eighth
G,5,64,16th
G,5,64,16th
G,5,64,16th
G,5,64,16th
G,5,512,half
B,4,64,16th
A,4,64,16th
A,4,64,16th
B,4,64,16th
D,5,128,eighth
G,5,64,16th
B,4,64,16th
A,4,64,16th
G,4,128,eighth
S,0,256,quarter
S,0,64,16th
F,5,64,16th
E,5,192,eighth
S,0,64,16th
A,5,64,16th
A,5,128,eighth
S,0,512,whole
G,4,128,eighth
S,0,64,16th
S,0,64,16th
F,5,192,eighth
S,0,256,quarter
A,4,64,16th
A,4,64,16th
A,4,64,16th
A,4,64,16th
G,4,128,eighth
S,0,64,16th
G,4,512,half
B,4,512,half
A,4,512,half
S,0,512,whole
G,4,128,eighth
S,0,256,quarter
C,5,128,eighth
S,0,64,16th
S,0,64,16th
D,4,64,16th
B,3,64,16th
B,4,64,16th
S,0,64,16th
S,0,64,16th
A,5,128,eighth
A,5,128,eighth
A,5,64,16th
G,5,64,16th
F,5,64,16th
A,5,64,16th
A,5,128,eighth
S,0,64,16th
S,0,64,16th
G,5,64,16th
C,6,64,16th
C,6,512,half
C,6,64,16th
C,6,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
A,4,128,eighth
S,0,256,quarter
S,0,64,16th
D,5,64,16th
S,0,64,16th
D,5,512,half
S,0,128,eighth
D,5,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,6,128,eighth
S,0,256,quarter
D,6,64,16th
C,6,64,16th
C,6,512,half
C,6,64,16th
A,5,64,16th
F,5,512,half
A,5,64,16th
S,0,128,eighth
D,6,64,16th
G,5,512,half
B,4,64,16th
S,0,64,16th
S,0,64,16th
D,4,512,half
E,5,64,16th
E,5,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,128,eighth
S,0,64,16th
C,5,64,16th
G,4,64,16th
D,5,128,eighth
F,5,128,eighth
S,0,64,16th
E,6,64,16th
E,6,64,16th
E,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,128,eighth
G,5,128,eighth
S,0,64,16th
S,0,64,16th
E,6,128,eighth
S,0,256,quarter
E,5,64,16th
F,5,64,16th
A,5,64,16th
A,5,128,eighth
A,5,128,eighth
A,5,64,16th
A,5,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,5,512,half
D,5,512,half
G,5,64,16th
C,6,64,16th
C,6,128,eighth
S,0,64,16th
F,4,512,half
A,4,512,half
D,4,512,half
E,5,64,16th
S,0,64,16th
E,6,128,eighth
S,0,256,quarter
S,0,64,16th
F,4,512,half
A,4,512,half
D,4,512,half
S,0,128,eighth
S,0,64,16th
S,0,64,16th
C,4,512,half
A,5,64,16th
F,5,512,half
S,0,64,16th
S,0,64,16th
B,5,64,16th
C,6,64,16th
C,6,64,16th
D,6,64,16th
D,6,256,quarter
D,6,512,half
D,6,128,eighth
S,0,64,16th
A,3,64,16th
S,0,64,16th
F,5,128,eighth
S,0,64,16th
A,5,64,16th
G,5,64,16th
E,5,256,quarter
G,5,256,quarter
G,5,256,quarter
E,5,256,quarter
G,5,256,quarter
S,0,64,16th
B,4,64,16th
D,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,512,half
E,5,512,half
F,5,64,16th
B,4,64,16th
S,0,64,16th
A,5,512,half
S,0,64,16th
G,4,512,half
B,4,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,5,512,half
D,5,256,quarter
F,5,256,quarter
D,5,256,quarter
B,4,256,quarter
D,5,256,quarter
S,0,64,16th
D,6,64,16th
G,5,192,eighth
S,0,256,quarter
B,4,128,eighth
F,4,64,16th
D,4,512,half
E,5,64,16th
S,0,64,16th
A,4,128,eighth
S,0,64,16th
E,5,64,16th
E,5,128,eighth
S,0,64,16th
S,0,64,16th
A,5,64,16th
C,6,64,16th
C,6,64,16th
C,6,128,eighth
S,0,64,16th
S,0,64,16th
C,5,192,eighth
S,0,64,16th
D,6,64,16th
D,5,64,16th
S,0,64,16th
B,4,192,eighth
S,0,64,16th
S,0,64,16th
E,6,128,eighth
S,0,256,quarter
E,5,64,16th
S,0,64,16th
E,6,64,16th
C,6,64,16th
G,5,64,16th
E,5,64,16th
S,0,64,16th
S,0,64,16th
S,0,128,eighth
S,0,64,16th
G,4,64,16th
S,0,64,16th
D,6,64,16th
F,5,64,16th
S,0,64,16th
S,0,64,16th
D,5,512,half
S,0,64,16th
C,5,192,eighth
S,0,64,16th
G,4,64,16th
G,4,64,16th
G,5,64,16th
E,5,64,16th
S,0,128,eighth
S,0,64,16th
A,5,64,16th
A,5,64,16th
A,5,128,eighth
A,5,64,16th
B,5,64,16th
B,4,192,eighth
S,0,256,quarter
G,5,512,half
B,5,256,quarter
S,0,64,16th
S,0,64,16th
S,0,64,16th
C,5,64,16th
G,4,64,16th
F,4,64,16th
S,0,128,eighth
A,4,256,quarter
E,5,256,quarter
G,5,256,quarter
G,5,256,quarter
B,4,512,half
A,4,512,half
D,4,512,half
S,0,128,eighth
G,5,64,16th
G,5,64,16th
S,0,128,eighth
S,0,64,16th
A,4,128,eighth
S,0,64,16th
A,4,128,eighth
S,0,256,quarter
C,5,128,eighth
S,0,64,16th
S,0,64,16th
G,4,64,16th
G,5,64,16th
S,0,128,eighth
E,6,64,16th
E,6,64,16th
C,6,64,16th
E,6,64,16th
C,6,64,16th
A,5,64,16th
C,6,64,16th
B,5,64,16th
E,5,512,half
E,5,128,eighth
G,5,128,eighth
G,5,128,eighth
B,5,64,16th
B,5,128,eighth
S,0,64,16th
S,0,128,eighth
S,0,64,16th
S,0,64,16th
C,5,64,16th
G,4,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
B,5,64,16th
C,6,512,half
C,6,64,16th
E,6,64,16th
E,5,64,16th
S,0,64,16th
C,4,512,half
A,5,64,16th
B,5,64,16th
C,6,64,16th
D,6,64,16th
B,5,64,16th
B,4,64,16th
S,0,64,16th
S,0,64,16th
S,0,128,eighth
E,4,64,16th
S,0,128,eighth
B,4,64,16th
S,0,64,16th
E,5,64,16th
S,0,64,16th
C,5,64,16th
C,5,64,16th
S,0,64,16th
S,0,64,16th
D,6,128,eighth
S,0,256,quarter
G,5,512,half
B,5,256,quarter
D,6,256,quarter
D,6,512,half
D,6,128,eighth
S,0,64,16th
D,6,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
F,5,192,eighth
S,0,256,quarter
D,6,64,16th
D,6,64,16th
D,6,256,quarter
D,6,512,half
D,6,128,eighth
S,0,256,quarter
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
E,6,64,16th
E,6,64,16th
E,5,64,16th
S,0,64,16th
G,5,64,16th
C,6,64,16th
C,6,512,half
C,6,64,16th
C,6,512,half
C,6,64,16th
B,5,64,16th
B,5,128,eighth
S,0,256,quarter
G,5,512,half
B,5,256,quarter
S,0,64,16th
F,5,64,16th
S,0,64,16th
D,6,64,16th
D,6,256,quarter
D,6,512,half
D,6,128,eighth
S,0,64,16th
S,0,64,16th
A,4,128,eighth
S,0,256,quarter
S,0,64,16th
E,6,128,eighth
S,0,256,quarter
D,6,64,16th
G,5,192,eighth
S,0,64,16th
B,4,64,16th
S,0,64,16th
S,0,64,16th
E,5,64,16th
C,5,64,16th
G,4,64,16th
E,4,64,16th
S,0,128,eighth
G,5,64,16th
A,5,256,quarter
B,5,512,half
B,5,128,eighth
S,0,64,16th
C,5,64,16th
S,0,64,16th
G,5,64,16th
G,5,64,16th
F,5,64,16th
S,0,64,16th
E,6,128,eighth
S,0,256,quarter
S,0,64,16th
E,5,512,half
F,5,64,16th
E,5,512,half
G,5,64,16th
C,5,64,16th
G,4,64,16th
D,4,64,16th
B,3,64,16th
B,4,64,16th
S,0,64,16th
S,0,128,eighth
D,6,64,16th
D,6,64,16th
D,6,64,16th
D,6,64,16th
D,6,192,eighth
S,0,256,quarter
G,5,128,eighth
G,5,128,eighth
S,0,64,16th
S,0,64,16th
C,5,64,16th
G,5,64,16th
G,5,64,16th
G,5,64,16th
G,5,64,16th
E,5,192,eighth
S,0,64,16th
D,5,64,16th
D,5,512,half
D,5,256,quarter
B,4,256,quarter
B,4,256,quarter
D,5,256,quarter
S,0,64,16th
S,0,64,16th
C,5,64,16th
B,4,64,16th
B,5,64,16th
B,5,64,16th
B,4,192,eighth
S,0,64,16th
S,0,64,16th
C,6,128,eighth
S,0,64,16th
D,5,512,half
D,5,512,half
G,5,64,16th
G,3,128,eighth
S,0,64,16th
D,4,64,16th
B,3,64,16th
B,4,64,16th
B,4,64,16th
S,0,64,16th
A,4,64,16th
A,4,64,16th
G,4,128,eighth
S,0,64,16th
D,5,64,16th
S,0,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
F,5,128,eighth
A,5,128,eighth
S,0,512,whole
S,0,512,whole
C,5,128,eighth
S,0,64,16th
S,0,64,16th
D,5,512,half
D,5,128,eighth
S,0,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,4,512,half
D,4,512,half
D,4,192,eighth
S,0,256,quarter
G,5,512,half
G,5,128,eighth
B,5,64,16th
B,4,192,eighth
S,0,64,16th
F,5,64,16th
S,0,128,eighth
S,0,64,16th
S,0,128,eighth
S,0,64,16th
D,5,128,eighth
G,5,64,16th
G,5,128,eighth
S,0,64,16th
E,6,64,16th
C,6,64,16th
C,6,64,16th
A,5,64,16th
S,0,128,eighth
S,0,64,16th
S,0,64,16th
B,4,64,16th
S,0,64,16th
A,4,128,eighth
S,0,256,quarter
G,5,512,half
F,5,64,16th
A,5,64,16th
B,5,64,16th
C,6,64,16th
A,5,64,16th
S,0,128,eighth
G,5,128,eighth
S,0,64,16th
S,0,64,16th
B,4,64,16th
A,4,64,16th
A,3,64,16th
S,0,64,16th
G,4,64,16th
F,4,64,16th
S,0,128,eighth
D,5,64,16th
G,5,64,16th
G,5,64,16th
B,5,64,16th
S,0,128,eighth
E,5,64,16th
C,5,512,half
G,4,64,16th
G,4,64,16th
B,4,64,16th
S,0,64,16th
G,5,128,eighth
S,0,64,16th
A,4,128,eighth
S,0,64,16th
S,0,64,16th
S,0,64,16th
G,4,64,16th
S,0,64,16th
G,4,64,16th
E,4,64,16th
C,4,64,16th
C,4,64,16th
C,4,64,16th
C,4,64,16th
E,6,64,16th
E,5,64,16th
S,0,64,16th
S,0,64,16th
B,4,64,16th
B,4,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
D,5,512,half
G,5,64,16th
S,0,128,eighth
S,0,64,16th
D,6,64,16th
D,6,192,eighth
S,0,256,quarter
B,3,192,eighth
B,4,128,eighth
S,0,64,16th
C,5,64,16th
S,0,64,16th
S,0,64,16th
E,5,64,16th
F,5,64,16th
S,0,64,16th
D,6,64,16th
B,5,64,16th
B,5,128,eighth
S,0,256,quarter
E,4,64,16th
B,3,128,eighth
B,5,128,eighth
S,0,64,16th
S,0,64,16th
G,5,128,eighth
S,0,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
A,4,64,16th
F,4,64,16th
D,4,64,16th
S,0,128,eighth
D,5,64,16th
E,5,512,half
S,0,64,16th
S,0,128,eighth
D,5,64,16th
S,0,64,16th
S,0,64,16th
S,0,64,16th
A,4,128,eighth
S,0,256,quarter
D,6,64,16th
F,5,64,16th
S,0,64,16th
D,6,64,16th
C,6,64,16th
A,5,64,16th
F,5,512,half
S,0,64,16th
F,4,512,half
A,4,64,16th
F,4,512,half
A,4,512,half
D,4,512,half
D,4,512,half
E,5,64,16th
C,5,64,16th
A,4,64,16th
A,4,64,16th
B,4,64,16th
S,0,64,16th
S,0,64,16th
G,5,64,16th
S,0,128,eighth
B,4,64,16th
S,0,64,16th
G,5,64,16th
G,5,64,16th
G,5,64,16th
G,5,64,16th
S,0,128,eighth
S,0,64,16th
C,5,192,eighth
S,0,256,quarter
